stock.s_1,stock.s_2,harvest.s_1,harvest.s_2,effort.t_1,effort.t_2,profit_per_t.t_1,profit_per_t.t_2,rev_per_sp.s_1,rev_per_sp.s_2,mortality1,mortality2
815.68715,16.363,NA,NA,NA,NA,NA,NA,NA,NA,0.143199914,0.142775602
919.1163511,22.06368742,116.8063294,0.256262728,178.999892,15.66110912,302372.7545,474.8795683,490.5406774,302551.7544,0.143199914,0.142775602
1032.164063,29.3191193,131.6173821,0.465924746,178.999892,21.11726555,340736.3431,870.760543,891.8778086,340915.343,0.143199914,0.142775602
1154.82471,38.23097263,147.8058046,0.822737753,178.999892,28.06147568,382667.5952,1546.831359,1574.892835,382846.5951,0.143199914,0.142775602
1286.852368,48.68333696,165.3707987,1.398911625,178.999892,36.59105506,428164.4429,2641.219566,2677.810621,428343.4428,0.143199914,0.142775602
1427.725631,60.24844097,184.2771479,2.268403261,178.999892,46.59506522,477135.6686,4295.605141,4342.200206,477314.6685,0.143199914,0.142775602
1576.623196,72.17156677,204.4501869,3.474171166,178.999892,57.66408409,529387.8743,6592.629104,6650.293188,529566.8742,0.143199914,0.142775602
1732.415273,83.50345475,225.7723054,4.985306359,178.999892,69.07576741,584616.4256,9473.847519,9542.923286,584795.4255,0.143199914,0.142775602
1893.675277,93.36976347,248.0817173,6.673727543,178.999892,79.92157406,642402.2643,12694.99443,12774.916,642581.2642,0.143199914,0.142775602
2058.714701,101.2428409,271.1741361,8.343957864,178.999892,89.36466747,702216.2473,15882.72292,15972.08758,702395.2472,0.143199914,0.142775602
2225.641499,107.0464409,294.8077673,9.810434242,178.999892,96.90002923,763432.0789,18682.3313,18779.23133,763611.0788,0.143199914,0.142775602
2392.439192,111.0523511,318.7116703,10.96740926,178.999892,102.4546838,825347.9685,20891.4698,20993.92448,825526.9684,0.143199914,0.142775602
2557.060607,113.6826617,342.5970855,11.80361674,178.999892,106.2887605,887215.9711,22488.31244,22594.60121,887394.971,0.143199914,0.142775602
2717.527536,115.3498865,366.1708579,12.36938342,178.999892,108.8062439,948276.7564,23568.79118,23677.59743,948455.7563,0.143199914,0.142775602
2872.026222,116.3820888,389.1497083,12.73485276,178.999892,110.4019531,1007796.574,24266.78055,24377.1825,1007975.574,0.143199914,0.142775602
3018.988922,117.0115849,411.2739069,12.9637868,178.999892,111.3898791,1065102.674,24704.02045,24815.41033,1065281.674,0.143199914,0.142775602
3157.153785,117.3919008,432.3189527,13.10440506,178.999892,111.992373,1119613.552,24972.59085,25084.58322,1119792.551,0.143199914,0.142775602
3285.598601,117.6203551,452.1041492,13.18972844,178.999892,112.3563752,1170861.167,25135.55371,25247.91009,1171040.167,0.143199914,0.142775602
3403.747711,117.7571098,470.4974358,13.241115,178.999892,112.5750299,1218503.458,25233.69971,25346.27474,1218682.458,0.143199914,0.142775602
3511.354837,117.8388012,487.416378,13.27192324,178.999892,112.7059186,1262326.902,25292.54226,25405.24818,1262505.902,0.143199914,0.142775602
3608.467134,117.8875388,502.8257092,13.29034382,178.999892,112.7841058,1302240.152,25327.72493,25440.50904,1302419.152,0.143199914,0.142775602
3695.376961,117.9165942,516.7321817,13.30133975,178.999892,112.8307528,1338260.697,25348.72682,25461.55757,1338439.697,0.143199914,0.142775602
3772.567959,117.9339082,529.1776615,13.30789726,178.999892,112.8585619,1370496.979,25361.25144,25474.11001,1370675.979,0.143199914,0.142775602
3840.661071,117.9442227,540.2314057,13.3118056,178.999892,112.8751332,1399128.387,25368.71626,25481.59139,1399307.387,0.143199914,0.142775602
3900.364744,117.9503664,549.9823334,13.3141342,178.999892,112.8850053,1424385.24,25373.16382,25486.04883,1424564.24,0.143199914,0.142775602
3952.431983,117.9540255,558.5318943,13.31552131,178.999892,112.8908855,1446530.313,25375.81315,25488.70404,1446709.313,0.143199914,0.142775602
3997.625492,117.9562047,565.9879183,13.31634748,178.999892,112.8943876,1465842.906,25377.39112,25490.2855,1466021.906,0.143199914,0.142775602
4036.691053,117.9575025,572.4596249,13.31683952,178.999892,112.8964733,1482605.921,25378.3309,25491.22737,1482784.92,0.143199914,0.142775602
4070.338514,117.9582753,578.0538099,13.31713254,178.999892,112.8977154,1497095.978,25378.89057,25491.78829,1497274.978,0.143199914,0.142775602
4099.229341,117.9587355,582.8721234,13.31730705,178.999892,112.8984551,1509576.374,25379.22387,25492.12232,1509755.374,0.143199914,0.142775602
4123.969514,117.9590096,587.0092874,13.31741097,178.999892,112.8988956,1520292.456,25379.42235,25492.32125,1520471.456,0.143199914,0.142775602
4145.106544,117.9591728,590.5520781,13.31747285,178.999892,112.8991579,1529468.993,25379.54055,25492.43971,1529647.993,0.143199914,0.142775602
4163.129526,117.95927,593.5788989,13.31750971,178.999892,112.8993141,1537309.064,25379.61094,25492.51025,1537488.064,0.143199914,0.142775602
4178.471285,117.9593279,596.1597884,13.31753165,178.999892,112.8994071,1543994.084,25379.65285,25492.55226,1544173.084,0.143199914,0.142775602
4191.511871,117.9593624,598.3567269,13.31754472,178.999892,112.8994625,1549684.594,25379.67782,25492.57728,1549863.594,0.143199914,0.142775602
4202.582834,117.9593829,600.2241377,13.3175525,178.999892,112.8994955,1554521.562,25379.69268,25492.59218,1554700.561,0.143199914,0.142775602
4211.971845,117.9593951,601.8094987,13.31755714,178.999892,112.8995152,1558627.964,25379.70153,25492.60105,1558806.963,0.143199914,0.142775602
