region,sci_name,comm_name,comm_name_foreign,indicator_spe,basket,group_name,priority,edf,r_fishbase,r_cmsy,r_used,price,price_source,k_cmsy,k_regressuib,k_used,last_catch,year,msy,msy_source,q,q_source,q/r
Belize,Coryphaena hippurus,Dolphinfish,,1,1,pelagic/migratory/gear,moderate,0,0.86317902,0.868098579,0.868098579,4816.681053,SAU,17.27910103,209.0139412,17.27910103,3.557331634,1986,3.749990764,cmsy,0.100254065,own,0.115486959
Belize,Kajikia albida,Marlin white,,0,1,pelagic/migratory/gear,moderate,0,0.288900859,#N/A,0.288900859,3241.46496,average,NA,822.3731754,822.3731754,NA,special,59.3960792,own,0.000928081,minimum/4,0.003212454
Belize,Kajikia audax,Marlin stripe,,0,1,pelagic/migratory/gear,moderate,0,0.244429707,#N/A,0.244429707,3241.46496,average,NA,914.4006364,914.4006364,NA,special,55.87666991,own,0.000928081,minimum/4,0.003796922
Belize,Xiphias gladius,Swordfish,,0,1,pelagic/migratory/gear,moderate,0,0.234773411,#N/A,0.234773411,3241.46496,average,NA,935.7060958,935.7060958,NA,special,54.91972795,own,0.000928081,minimum/4,0.003953091
Belize,Thunnus albacares,Yellowfin tuna,,0,1,pelagic/migratory/gear,moderate,0,0.410515749,#N/A,0.410515749,3241.46496,average,NA,615.3019578,615.3019578,NA,special,63.14778602,own,0.000928081,minimum/4,0.002260767
Belize,Rachycentron canadum,Cobia,,0,1,pelagic/migratory/gear,moderate,0,0.454214681,0.459036753,0.459036753,1567.746469,SAU,238.3418413,554.3967228,238.3418413,1.816967742,2019,27.35191624,cmsy,0.003712323,own,0.008087201
Belize,Acanthocybium solandri,Wahoo,,0,1,pelagic/migratory/gear,moderate,0,0.506271141,0.51132494,0.51132494,4714.274068,SAU,81.62535576,489.6609424,81.62535576,36,1991,10.43427004,cmsy,0.214771274,own,0.420028942
Belize,Seriola dumerili,Great amberjack,,0,1,pelagic/migratory/gear,moderate,0,0.43441977,0.43938687,0.43938687,1867.158248,SAU,272.7010473,581.2007499,272.7010473,33.84935732,2019,29.95531494,cmsy,0.060445281,own,0.137567335
Belize,Haemulon plumierii,White grunt,,0,2,beach traps,moderate,0,0.658933542,0.663816183,0.663816183,1867.158248,SAU,373.488328,340.2144583,373.488328,63.5171439,2019,61.98189911,cmsy,0.090232895,own,0.135930543
Belize,Lutjanus griseus,Gray snapper,,0,2,beach traps,moderate,0,0.211600654,0.21648154,0.21648154,1796.86812,average,786.5863939,988.881096,786.5863939,67.53003666,2019,42.5703585,cmsy,0.011330203,own,0.052337965
Belize,Haemulon sciurus,Bluestriped grunt,,0,2,beach traps,moderate,0,0.732488439,0.490416622,0.490416622,1796.86812,average,971.3592348,285.4679688,971.3592348,26.17433375,2019,119.0926787,cmsy,0.014297059,own,0.029152885
Belize,Sphyraena barracuda,Great barracuda,,0,2,beach traps,moderate,0,0.167066229,0.171829942,0.171829942,2381.062733,SAU,3162.35226,1099.707541,3162.35226,74.34329477,2019,135.8467014,cmsy,0.050147159,own,0.291841798
Belize,Gerres cinereus,Mojarra (yellowfin),,1,2,beach traps,moderate,0,1.172568236,1.177566475,1.177566475,1142.383378,SAU,297.1248592,99.92623853,297.1248592,112.1053726,2019,87.47106831,cmsy,0.200188165,own,0.170001583
Belize,Diapterus auratus,Mojarra (Pompano),,0,2,beach traps,moderate,0,1.617266346,#N/A,1.617266346,1796.86812,average,NA,34.59533918,34.59533918,NA,special,13.98746945,own,0.002832551,minimum/4,0.001751444
Belize,Lutjanus apodus,Schoolmaster,,1,3,opportunistic sling,moderate,0,0.435558014,0.440541776,0.440541776,1867.158248,SAU,321.9084813,579.6249362,321.9084813,39.64861602,2019,35.45353352,cmsy,0.0708011,own,0.160713703
