area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Belize",eez,Reconstructed domestic catch,1,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,235.3255788696,93068.09827818826
"Belize",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize",Artisanal,Landings,Reported,artisanal fishing gear,Direct human consumption,0.2219550131,87.78021952126998
"Belize",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize",Artisanal,Landings,Reported,small scale seine nets,Direct human consumption,8.5126108620,3366.6229915083777
"Belize",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,1.5658685698,619.2799382081517
"Belize",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize",Artisanal,Landings,Reported,small scale other nets,Direct human consumption,8.5837371396,3394.752476701485
"Belize",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize",Artisanal,Landings,Reported,small scale pole lines,Direct human consumption,0.0729132395,28.83620460037901
"Belize",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize",Artisanal,Landings,Reported,small scale longline,Direct human consumption,0.0876934064,34.681561625485664
"Belize",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize",Artisanal,Landings,Unreported,artisanal fishing gear,Direct human consumption,1.9329357492,764.4500658988255
"Belize",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize",Artisanal,Landings,Unreported,small scale seine nets,Direct human consumption,107.1142678577,42362.25086903333
"Belize",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,15.8521134588,6269.297457550602
"Belize",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize",Artisanal,Landings,Unreported,small scale other nets,Direct human consumption,74.7221741561,29551.61390157875
"Belize",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize",Artisanal,Landings,Unreported,small scale pots or traps,Direct human consumption,0.0308676770,12.207750699613882
"Belize",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize",Artisanal,Landings,Unreported,small scale pole lines,Direct human consumption,0.6349782565,251.125351784868
"Belize",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize",Artisanal,Landings,Unreported,small scale longline,Direct human consumption,0.7636940380,302.03071050252424
"Belize",eez,Reconstructed domestic catch,1,1950,"Lutjanus","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,15.8266641188,22619.327501317606
"Belize",eez,Reconstructed domestic catch,2,1950,"Lutjanus","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,0.4991344548,713.3585205656392
"Belize",eez,Reconstructed domestic catch,2,1950,"Lutjanus","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Reported,small scale pole lines,Direct human consumption,0.5740046231,820.3622986504844
"Belize",eez,Reconstructed domestic catch,2,1950,"Lutjanus","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,6.2890941310,8988.31735912698
"Belize",eez,Reconstructed domestic catch,2,1950,"Lutjanus","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Unreported,small scale pole lines,Direct human consumption,7.2324582507,10336.564962996026
"Belize",eez,Reconstructed domestic catch,2,1950,"Sphyrna","Hammerhead sharks","Large sharks (>=90 cm)","Sharks & rays","Belize",Artisanal,Landings,Unreported,small scale longline,Direct human consumption,115.8273897500,66465.06019166566
"Belize",eez,Reconstructed domestic catch,1,1950,"Epinephelus guttatus","Red hind","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,6.9461892817,5230.421177397861
"Belize",eez,Reconstructed domestic catch,2,1950,"Epinephelus guttatus","Red hind","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,0.3071807753,231.304499086036
"Belize",eez,Reconstructed domestic catch,2,1950,"Epinephelus guttatus","Red hind","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Reported,small scale pole lines,Direct human consumption,0.1638109072,123.34821340405288
"Belize",eez,Reconstructed domestic catch,2,1950,"Epinephelus guttatus","Red hind","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,3.8704777686,2914.436688484055
"Belize",eez,Reconstructed domestic catch,2,1950,"Epinephelus guttatus","Red hind","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Unreported,small scale pole lines,Direct human consumption,2.0640174301,1554.1874888910713
"Belize",eez,Reconstructed domestic catch,1,1950,"Epinephelus itajara","Atlantic goliath grouper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,9.9222733554,5178.205298350863
"Belize",eez,Reconstructed domestic catch,2,1950,"Epinephelus itajara","Atlantic goliath grouper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize",Artisanal,Landings,Reported,small scale pole lines,Direct human consumption,0.6727873416,351.11217483337106
"Belize",eez,Reconstructed domestic catch,2,1950,"Epinephelus itajara","Atlantic goliath grouper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize",Artisanal,Landings,Unreported,small scale pole lines,Direct human consumption,8.4771205045,4424.013402900477
"Belize",eez,Reconstructed domestic catch,1,1950,"Epinephelus striatus","Nassau grouper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,49.9898169456,37641.905022026556
"Belize",eez,Reconstructed domestic catch,2,1950,"Epinephelus striatus","Nassau grouper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,0.1964756598,147.94449303656629
"Belize",eez,Reconstructed domestic catch,2,1950,"Epinephelus striatus","Nassau grouper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize",Artisanal,Landings,Reported,small scale pole lines,Direct human consumption,0.1047749685,78.89465605353857
"Belize",eez,Reconstructed domestic catch,2,1950,"Epinephelus striatus","Nassau grouper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,41.3887678226,31165.388524108763
"Belize",eez,Reconstructed domestic catch,2,1950,"Epinephelus striatus","Nassau grouper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize",Artisanal,Landings,Unreported,small scale pole lines,Direct human consumption,1.3201646035,994.072666274588
"Belize",eez,Reconstructed domestic catch,1,1950,"Caranx hippos","Crevalle jack","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,107.3287648244,19198.970407016826
"Belize",eez,Reconstructed domestic catch,2,1950,"Caranx hippos","Crevalle jack","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,7.2775090728,1301.800887716064
"Belize",eez,Reconstructed domestic catch,2,1950,"Caranx hippos","Crevalle jack","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,91.6966143175,16402.691185222408
"Belize",eez,Reconstructed domestic catch,1,1950,"Euthynnus alletteratus","Little tunny ","Large pelagics (>=90 cm)","Tuna & billfishes","Belize",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,0.6842947142,224.00750534390892
"Belize",eez,Reconstructed domestic catch,2,1950,"Euthynnus alletteratus","Little tunny ","Large pelagics (>=90 cm)","Tuna & billfishes","Belize",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,0.0463991270,15.189000406250146
"Belize",eez,Reconstructed domestic catch,2,1950,"Euthynnus alletteratus","Little tunny ","Large pelagics (>=90 cm)","Tuna & billfishes","Belize",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,0.5846290003,191.38140511875176
"Belize",eez,Reconstructed domestic catch,1,1950,"Scomberomorus cavalla","King mackerel","Large pelagics (>=90 cm)","Perch-likes","Belize",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,1.5536024436,1566.0188514572121
"Belize",eez,Reconstructed domestic catch,2,1950,"Scomberomorus cavalla","King mackerel","Large pelagics (>=90 cm)","Perch-likes","Belize",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,0.1053432032,106.18510721085346
"Belize",eez,Reconstructed domestic catch,2,1950,"Scomberomorus cavalla","King mackerel","Large pelagics (>=90 cm)","Perch-likes","Belize",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,1.3273243600,1337.9323508567586
"Belize",eez,Reconstructed domestic catch,1,1950,"Lutjanus jocu","Dog snapper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,15.8266641188,22619.327501317606
"Belize",eez,Reconstructed domestic catch,2,1950,"Lutjanus jocu","Dog snapper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,0.4991344548,713.3585205656392
"Belize",eez,Reconstructed domestic catch,2,1950,"Lutjanus jocu","Dog snapper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize",Artisanal,Landings,Reported,small scale pole lines,Direct human consumption,0.5740046231,820.3622986504844
"Belize",eez,Reconstructed domestic catch,2,1950,"Lutjanus jocu","Dog snapper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,6.2890941310,8988.31735912698
"Belize",eez,Reconstructed domestic catch,2,1950,"Lutjanus jocu","Dog snapper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize",Artisanal,Landings,Unreported,small scale pole lines,Direct human consumption,7.2324582507,10336.564962996026
"Belize",eez,Reconstructed domestic catch,1,1950,"Lutjanus synagris","Lane snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,144.4731317424,206479.71407537846
"Belize",eez,Reconstructed domestic catch,2,1950,"Lutjanus synagris","Lane snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,9.7961113105,14000.515099520626
"Belize",eez,Reconstructed domestic catch,2,1950,"Lutjanus synagris","Lane snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,123.4310025118,176406.49025395935
"Belize",eez,Reconstructed domestic catch,1,1950,"Ocyurus chrysurus","Yellowtail snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,295.1293859878,518571.1284303198
"Belize",eez,Reconstructed domestic catch,2,1950,"Ocyurus chrysurus","Yellowtail snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,20.0114739762,35162.11239576629
"Belize",eez,Reconstructed domestic catch,2,1950,"Ocyurus chrysurus","Yellowtail snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,252.1445721002,443042.6161866548
"Belize",eez,Reconstructed domestic catch,1,1950,"Lutjanus griseus","Grey snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,15.8266641188,17968.07394124152
"Belize",eez,Reconstructed domestic catch,2,1950,"Lutjanus griseus","Grey snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Reported,small scale pole lines,Direct human consumption,1.0731390779,1218.3390104454493
"Belize",eez,Reconstructed domestic catch,2,1950,"Lutjanus griseus","Grey snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Unreported,small scale pole lines,Direct human consumption,13.5215523817,15351.07153161255
"Belize",eez,Reconstructed domestic catch,1,1950,"Centropomus undecimalis","Common snook","Large benthopelagics (>=90 cm)","Perch-likes","Belize",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,14.9809853904,16017.546330899768
"Belize",eez,Reconstructed domestic catch,2,1950,"Centropomus undecimalis","Common snook","Large benthopelagics (>=90 cm)","Perch-likes","Belize",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,1.0157971843,1086.081992447774
"Belize",eez,Reconstructed domestic catch,2,1950,"Centropomus undecimalis","Common snook","Large benthopelagics (>=90 cm)","Perch-likes","Belize",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,12.7990445217,13684.633104841938
"Belize",eez,Reconstructed domestic catch,1,1950,"Pogonias cromis","Black drum","Large demersals (>=90 cm)","Perch-likes","Belize",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,11.3446218342,9562.418179610342
"Belize",eez,Reconstructed domestic catch,2,1950,"Pogonias cromis","Black drum","Large demersals (>=90 cm)","Perch-likes","Belize",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,0.7692307692,648.3870859230768
"Belize",eez,Reconstructed domestic catch,2,1950,"Pogonias cromis","Black drum","Large demersals (>=90 cm)","Perch-likes","Belize",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,9.6923076923,8169.677282630768
"Belize",eez,Reconstructed domestic catch,1,1950,"Mugil cephalus","Flathead grey mullet","Large benthopelagics (>=90 cm)","Perch-likes","Belize",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,11.3446218342,9535.696912130792
"Belize",eez,Reconstructed domestic catch,2,1950,"Mugil cephalus","Flathead grey mullet","Large benthopelagics (>=90 cm)","Perch-likes","Belize",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,0.7692307692,646.5752299230768
"Belize",eez,Reconstructed domestic catch,2,1950,"Mugil cephalus","Flathead grey mullet","Large benthopelagics (>=90 cm)","Perch-likes","Belize",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,9.6923076923,8146.847897030767
"Belize",eez,Reconstructed domestic catch,2,1950,"Carcharhinus leucas","Bull shark","Large sharks (>=90 cm)","Sharks & rays","Belize",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,2.3734761634,0.09689255507833498
"Belize",eez,Reconstructed domestic catch,2,1950,"Carcharhinus leucas","Bull shark","Large sharks (>=90 cm)","Sharks & rays","Belize",Artisanal,Landings,Unreported,small scale pots or traps,Direct human consumption,0.0143044444,0.0005839511620235852
"Belize",eez,Reconstructed domestic catch,2,1950,"Carcharhinus leucas","Bull shark","Large sharks (>=90 cm)","Sharks & rays","Belize",Artisanal,Landings,Unreported,small scale longline,Direct human consumption,7.9266977489,0.32359204195177416
"Belize",eez,Reconstructed domestic catch,2,1950,"Carcharhinus limbatus","Blacktip shark","Large sharks (>=90 cm)","Sharks & rays","Belize",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,4.7462930278,2723.558326399213
