"data_layer","uncertainty_score","year","sci_name","comm_name","functional_group","commercial_group","fishing_entity","fishing_sector","catch_type","reporting_status","gear_type","end_use_type","catch_mt","value_usd"
"Reconstructed domestic catch",1,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",235.3255788696,93068.0982781883
"Reconstructed domestic catch",2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Reported","artisanal fishing gear","Direct human consumption",0.2219550131,87.78021952127
"Reconstructed domestic catch",2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Reported","small scale seine nets","Direct human consumption",8.512610862,3366.62299150838
"Reconstructed domestic catch",2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",1.5658685698,619.279938208152
"Reconstructed domestic catch",2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Reported","small scale other nets","Direct human consumption",8.5837371396,3394.75247670149
"Reconstructed domestic catch",2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Reported","small scale pole lines","Direct human consumption",0.0729132395,28.836204600379
"Reconstructed domestic catch",2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Reported","small scale longline","Direct human consumption",0.0876934064,34.6815616254857
"Reconstructed domestic catch",2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Unreported","artisanal fishing gear","Direct human consumption",1.9329357492,764.450065898826
"Reconstructed domestic catch",2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Unreported","small scale seine nets","Direct human consumption",107.1142678577,42362.2508690333
"Reconstructed domestic catch",2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",15.8521134588,6269.2974575506
"Reconstructed domestic catch",2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Unreported","small scale other nets","Direct human consumption",74.7221741561,29551.6139015787
"Reconstructed domestic catch",2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Unreported","small scale pots or traps","Direct human consumption",0.030867677,12.2077506996139
"Reconstructed domestic catch",2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Unreported","small scale pole lines","Direct human consumption",0.6349782565,251.125351784868
"Reconstructed domestic catch",2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Unreported","small scale longline","Direct human consumption",0.763694038,302.030710502524
"Reconstructed domestic catch",1,1950,"Lutjanus","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",15.8266641188,22619.3275013176
"Reconstructed domestic catch",2,1950,"Lutjanus","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.4991344548,713.358520565639
"Reconstructed domestic catch",2,1950,"Lutjanus","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale pole lines","Direct human consumption",0.5740046231,820.362298650484
"Reconstructed domestic catch",2,1950,"Lutjanus","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",6.289094131,8988.31735912698
"Reconstructed domestic catch",2,1950,"Lutjanus","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale pole lines","Direct human consumption",7.2324582507,10336.564962996
"Reconstructed domestic catch",2,1950,"Sphyrna","Hammerhead sharks","Large sharks (>=90 cm)","Sharks & rays","Belize","Artisanal","Landings","Unreported","small scale longline","Direct human consumption",115.82738975,66465.0601916657
"Reconstructed domestic catch",1,1950,"Epinephelus guttatus","Red hind","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",6.9461892817,5230.42117739786
"Reconstructed domestic catch",2,1950,"Epinephelus guttatus","Red hind","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.3071807753,231.304499086036
