"sci_name","comm_name","name_label","year","catch_mt"
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1960,0.3641258356
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1961,0.3641258356
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1962,0.3641258356
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1963,0.3641258356
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1964,0.3641258356
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1965,0.7513699726
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1966,0.7513699726
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1967,0.7660872205
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1968,0.7660872205
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1969,0.7660872205
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1970,0.6868157705
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1971,0.6868157705
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1972,0.6868157705
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1973,0.6868157705
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1974,0.6868157705
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1975,0.6877294622
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1976,0.780193662
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1977,1.1912581094
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1978,2.1332820462
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1979,2.3357730457
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1980,2.7215995398
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",1981,2.8560305608
