"sci_name","comm_name","year","catch_mt","value_usd","name_label"
"Acanthocybium solandri","Wahoo",1960,0.3641258356,1136.19053042969,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1961,0.3641258356,1272.59665280334,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1962,0.3641258356,1205.70803199253,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1963,0.3641258356,1267.27370003026,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1964,0.3641258356,799.4502882922,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1965,0.7513699726,2295.60357320324,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1966,0.7513699726,1287.15912679192,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1967,0.7660872205,908.61698174101,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1968,0.7660872205,1780.40968296888,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1969,0.7660872205,1437.25776648205,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1970,0.6868157705,1339.31135689239,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1971,0.6868157705,1551.99484927119,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1972,0.6868157705,1562.54777358449,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1973,0.6868157705,2879.66124477524,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1974,0.6868157705,2456.50992769318,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1975,0.6877294622,3100.4164597706,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1976,0.780193662,2780.43310742884,"Wahoo
(Acanthocybium solandri)"
