"sci_name","comm_name","year","gear_type","catch_mt","value_usd","name_label"
"Acanthocybium solandri","Wahoo",1960,"longline",0.3641258356,1136.19053042969,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1961,"longline",0.3641258356,1272.59665280334,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1962,"longline",0.3641258356,1205.70803199253,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1963,"longline",0.3641258356,1267.27370003026,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1964,"longline",0.3641258356,799.4502882922,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1965,"longline",0.7513699726,2295.60357320324,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1966,"longline",0.7513699726,1287.15912679192,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1967,"longline",0.7660872205,908.61698174101,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1968,"longline",0.7660872205,1780.40968296888,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1969,"longline",0.7660872205,1437.25776648205,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1970,"longline",0.6868157705,1339.31135689239,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1971,"longline",0.6868157705,1551.99484927119,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1972,"longline",0.6868157705,1562.54777358449,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1973,"longline",0.6868157705,2879.66124477524,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1974,"longline",0.6868157705,2456.50992769318,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1975,"longline",0.6877294622,3100.4164597706,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1976,"longline",0.780193662,2780.43310742884,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1977,"longline",1.1912581094,5748.96398574238,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1978,"longline",2.1332820462,10462.009811549,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1979,"longline",2.3357730457,14110.1737272549,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1980,"longline",2.7215995398,16857.1983610061,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1981,"longline",2.8560305608,11886.5792797397,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1982,"longline",3.004671522,11709.8148696562,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1983,"longline",8.8480077121,35922.0795985911,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1984,"longline",9.3006978956,33651.1619789616,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1985,"longline",10.5984696949,39365.3448674997,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1986,"longline",10.8147649948,55319.0586452302,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1987,"longline",11.2473555946,64842.9058061519,"Wahoo
(Acanthocybium solandri)"
"Acanthocybium solandri","Wahoo",1988,"longline",12.1125367942,64068.5729584273,"Wahoo
(Acanthocybium solandri)"
