sci_name,comm_name,year,gear_type,catch_mt,value_usd,name_label
Acanthocybium solandri,Wahoo,1960,longline,0.364125836,1136.19053,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1961,longline,0.364125836,1272.596653,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1962,longline,0.364125836,1205.708032,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1963,longline,0.364125836,1267.2737,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1964,longline,0.364125836,799.4502883,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1965,longline,0.751369973,2295.603573,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1966,longline,0.751369973,1287.159127,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1967,longline,0.766087221,908.6169817,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1968,longline,0.766087221,1780.409683,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1969,longline,0.766087221,1437.257766,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1970,longline,0.686815771,1339.311357,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1971,longline,0.686815771,1551.994849,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1972,longline,0.686815771,1562.547774,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1973,longline,0.686815771,2879.661245,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1974,longline,0.686815771,2456.509928,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1975,longline,0.687729462,3100.41646,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1976,longline,0.780193662,2780.433107,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1977,longline,1.191258109,5748.963986,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1978,longline,2.133282046,10462.00981,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1979,longline,2.335773046,14110.17373,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1980,longline,2.72159954,16857.19836,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1981,longline,2.856030561,11886.57928,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1982,longline,3.004671522,11709.81487,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1983,longline,8.848007712,35922.0796,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1984,longline,9.300697896,33651.16198,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1985,longline,10.59846969,39365.34487,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1986,longline,10.81476499,55319.05865,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1987,longline,11.24735559,64842.90581,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1988,longline,12.11253679,64068.57296,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1989,longline,12.11253679,50799.82185,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1990,longline,12.11253679,70419.73318,"Wahoo
(Acanthocybium solandri)"
Acanthocybium solandri,Wahoo,1991,longline,36.50615715,185464.7491,"Wahoo
(Acanthocybium solandri)"
Caranx hippos,Crevalle jack,1950,small scale gillnets,98.97412339,17704.49207,"Crevalle jack
(Caranx hippos)"
Caranx hippos,Crevalle jack,1950,subsistence fishing gear,107.3287648,19198.97041,"Crevalle jack
(Caranx hippos)"
Caranx hippos,Crevalle jack,1951,small scale gillnets,101.2904937,25103.53236,"Crevalle jack
(Caranx hippos)"
Caranx hippos,Crevalle jack,1951,subsistence fishing gear,108.8036566,26965.57213,"Crevalle jack
(Caranx hippos)"
Caranx hippos,Crevalle jack,1952,small scale gillnets,103.5910345,30999.82448,"Crevalle jack
(Caranx hippos)"
Caranx hippos,Crevalle jack,1952,subsistence fishing gear,110.1708348,32968.84288,"Crevalle jack
(Caranx hippos)"
Caranx hippos,Crevalle jack,1953,small scale gillnets,105.8757459,25482.37374,"Crevalle jack
(Caranx hippos)"
Caranx hippos,Crevalle jack,1953,subsistence fishing gear,111.4302993,26819.25413,"Crevalle jack
(Caranx hippos)"
Caranx hippos,Crevalle jack,1954,small scale gillnets,118.04204,28314.72915,"Crevalle jack
(Caranx hippos)"
Caranx hippos,Crevalle jack,1954,subsistence fishing gear,112.5820503,27005.0421,"Crevalle jack
(Caranx hippos)"
Caranx hippos,Crevalle jack,1955,small scale gillnets,110.39768,26541.00067,"Crevalle jack
(Caranx hippos)"
Caranx hippos,Crevalle jack,1955,subsistence fishing gear,113.6260875,27317.15073,"Crevalle jack
(Caranx hippos)"
